username;tweet;value;remove_user
sakami1808;@KangenPiknik @blogdokter Kaya DKI gak pilkada aja ....meroket. Masyarakat dah bosen ma nih pandemi Mikirnya hidup dan mati ditangan Tuhan.;negatif; @blogdokter Kaya DKI gak pilkada aja ....meroket. Masyarakat dah bosen ma nih pandemi Mikirnya hidup dan mati ditangan Tuhan.
dew0w1snu;Dengan partisipasi pemilih mencapai 76% meskipun pada masa pandemi @DPR_RI menilai pelaksanaan pilkada serentak ini berhasil. @kemendagri @jokowi    https://t.co/x2md48wzXF;positif;Dengan partisipasi pemilih mencapai 76% meskipun pada masa pandemi,  menilai pelaksanaan pilkada serentak ini berhasil. @kemendagri @jokowi    https://t.co/x2md48wzXF
alipuisimaji;@republikaonline Jangan cuma bacain laporan doang kalian bukan pembawa acara. Coba desak pemimpin kalian biar serius nanganin pandemi ini. Jangan cuma serius di PILKADA doang.;negatif; Jangan cuma bacain laporan doang, kalian bukan pembawa acara. Coba desak pemimpin kalian biar serius nanganin pandemi ini. Jangan cuma serius di PILKADA doang.
dew0w1snu;Anggota @DPR_RI Komisi II menilai pelaksanaan pilkada serentak 2020 oleh @KPU_ID dan pemerintah dlm hal ini @kemendagri sukses meskipun pada masa pandemi. @jokowi  https://t.co/mKj5bIzQiw;positif;Anggota  Komisi II menilai pelaksanaan pilkada serentak 2020 oleh @KPU_ID dan pemerintah dlm hal ini @kemendagri sukses meskipun pada masa pandemi. @jokowi  https://t.co/mKj5bIzQiw
aryprasetyo85;Perhelatan Pilkada yang digelar di tengah pandemi sangat sulit diprediksi dapat menyedot partisipasi sesuai yang ditargetkan KPU 755%. Namun target itu dapat tercapai berkat kerja sama semua pihak yaitu KPU Bawaslu Kemenda gri Pemda termasuk TNI-Polri.  @jokowi @kemendagri  https://t.co/cBNZPqU91v;positif;Perhelatan Pilkada yang digelar di tengah pandemi sangat sulit diprediksi dapat menyedot partisipasi sesuai yang ditargetkan KPU 75,5%. Namun target itu dapat tercapai berkat kerja sama semua pihak yaitu KPU, Bawaslu, Kemenda gri, Pemda, termasuk TNI-Polri.   @kemendagri  https://t.co/cBNZPqU91v
denni_sauya;MELEBIHI TARGET..!!👍  Partisipasi pemilih dlm Pilkada 2020 ini mencapai 7613%  Padahal perhelatan pilkada yg digelar di tengah pandemi sangat sulit diprediksi dapat menyedot partisipasi sesuai yg ditargetkan KPU 755%. @kemendagri  https://t.co/3ZXNFwiwko;positif;MELEBIHI TARGET..!!👍  Partisipasi pemilih dlm Pilkada 2020 ini mencapai 76,13%  Padahal perhelatan pilkada yg digelar di tengah pandemi sangat sulit diprediksi dapat menyedot partisipasi sesuai yg ditargetkan KPU 75,5%.   https://t.co/3ZXNFwiwko
byrubima;Keberhasilan pelaksanaan pilkada adalah prestasi besar disaat pandemi dgn aturan yg ketat dn patuhi prokes.  @kemendagri @KPU_ID  Terimakasih juga buat partisipasi masyarakat.. 🙏🇮🇩  Partisipasi 76% DPR Sebut Pelaksanaan Pilkada Berhasil    https://t.co/VkcqxHLAot;positif;Keberhasilan pelaksanaan pilkada adalah prestasi besar disaat pandemi dgn aturan yg ketat dn patuhi prokes.   @KPU_ID  Terimakasih juga buat partisipasi masyarakat.. 🙏🇮🇩  Partisipasi 76%, DPR Sebut Pelaksanaan Pilkada Berhasil    https://t.co/VkcqxHLAot
kotabalikpapan;Memasuki bulan Desember 2020 agenda Pilkada Serentak 2020 membuat @Poldakaltim  memfokuskan kegiatan agar tercipta Pilkada yang aman damai dan sehat meski pemilihan kepala daerah itu dilangsungkan di tengah pandemi.  https://t.co/lxKwB83Twd;positif;Memasuki bulan Desember 2020, agenda Pilkada Serentak 2020 membuat   memfokuskan kegiatan agar tercipta Pilkada yang aman, damai dan sehat, meski pemilihan kepala daerah itu dilangsungkan di tengah pandemi.  https://t.co/lxKwB83Twd
syams_azhar;"@ProfesorZubairi Yang gembar gembor new normal harusnya ditangkepin. Yang nglarang lockdown pas awal pandemi harusnya disuntik virus. Yang ngotot pilkada jangan kasih vaksin. Yang ngomong ""rakyat gali kubur sendiri"" suruh mayatnya gali kubur sendiri";negatif;" Yang gembar gembor new normal harusnya ditangkepin. Yang nglarang lockdown pas awal pandemi, harusnya disuntik virus. Yang ngotot pilkada, jangan kasih vaksin. Yang ngomong ""rakyat gali kubur sendiri"", suruh mayatnya gali kubur sendiri"
andizsss;@infojakarta 3 M dilakukan buat msayarakat luas lantas 3 T apakah sdh efektif dilaksanakan ? Jangan sampai terulang kasus Petamburan Soetta dan Tebet ya pak...gegara pernah membela Pilkada. Ini masa Pandemi bukan masalah Politik. Thanks;negatif; 3 M dilakukan buat msayarakat luas, lantas 3 T apakah sdh efektif dilaksanakan ? Jangan sampai terulang kasus Petamburan, Soetta dan Tebet ya pak...gegara pernah membela Pilkada. Ini masa Pandemi, bukan masalah Politik. Thanks
