VALUE;remove_RT;;
negatif;_Hh_Aina___ Masih koq begini..datang ajah gda yg brubah.. Covid is bullshit.. Krumunan pilkada.. jemput HRS..megamendung..see nothing yg terpapar..positive isolasi mandiri clear..where the virus ??? 🙏;;
positif;on_Chaniago @sen_zens ennysiregar wkwk perasaan pilkada serentak tahun  itu udh tercantum di UU jauh sebelum adanya covid, yaitu tahun , silahkan dibaca mas UU nya 😄😄😄;;
negatif;hiantahkim @GeiszChalifah Pilkada kemarin  sicovid udah rame tetap  di laksanakan demi maju y Anak dn mantu y. Eeh Covid jdi naik pesat.;;
positif;eiszChalifah Lah waktu pilkada tahun ini tetap jalan aja... Padahal covid lagi tingginya... Harus yakin dong bahwa tahun  covid sudah tertangani dan pilkada bisa dilaksanakan di DKI Jakarta. Iya gk?;;
negatif;hiantahkim @GeiszChalifah IDI bilanh, tunda pilkada , tetep ngeyel, trus covid naik lagi, eh nyalahkan orang yg berlibur. kasihan elu jok;;
negatif;eiszChalifah Alasan jokowi tdk mau pilkada dugelar  dan  krn msh covid  , la kok enak bener,  pake sesuka hati,  kmrn anak mantu pilkada di tengah kovid dibolehkan,  katanya kerumunannya dilindungi UU,  trus sekarang beda lg,  somplak bener;;
negatif;dtodayco Hmm logikanya, tololnya...  Lha covid saja diterjang untuk pilkada  ....;;
negatif;dtodayco Pilkada yg lalu mereka ngebut di tengah merebak nya covid,tapi di  kok mau di undur takut akan kemenangan Pak Anis ya;;
negatif;rchnr Tapi ada bidang lain yg parah. Udh gua jelasin, penyangkalan diawal Covid dan Pilkada itu buat gua kesal can. Kok bisa orang meremehkan dan tetap maksa sesuatu yg mengundang bencana.;;
positif;PD_KOTABOGOR @rizkyberkarya @dpwberkarya_diy @BerkaryaSerang Partai baru harusnya ambil momen covid ini untuk membantu warga, terlebih banyaknya bencana. Kubarkan pendera kalian di hati rakyat, jangan pada momen pelpres dan pilkada saja melakukan konsolidasi.;;
negatif;ompascom Pilkada, liburan akhir tahun, tidak patuh prokes, dan pejabat² yang gak jujur... itu yang menyebabkan lonjakan covid menurut saya;;
negatif;urhidayatsardi @radaraktual @SaanMustopa kmrn pilkada terus jln walau covid lg tinggi tinggi, skng minta di tunda segit khawatisnya dgn ARB dan AHY....;;
negatif;rchnr @rangganbaskara Coba Menkes bilang Covid ini berbahaya dan kita harus waspada. Gua gak bakal kesal. Gua yg jaga protokol kesehatan aja maish kena, apalagi ada Pilkada. Wajar gua kesal.;;
positif;etikcom Woi covid tu slese in masih aja ngmg in pilkada;;
positif;etikcom Masih covid udh ngmngn pilkada. Boleh nanti dulu gak y;"amp; dampaknya gk kebayang""";
negatif;NNIndonesia Fakta membuktikan kl pilkada kmrn banyak yg positif covid , bau bangke akan ttp tercium walau di tutupi.;;
negatif;arlina_idha Wkwkwkkw npak kali lucu nya kemaren nggak bisa di cegah mau pilkada di tengah mewabah nya covid.. Eeeee udah selesai udah menang... Kok di larang pilkada..ada apa dengan pemerintah ini...;;
negatif;rchnr Jadi nyawa orang harus jadi taruhan demi Pilkada? US Indo beda jauh can. US buat vaksin sendiri. Indonesia? Apa pentingnya Pilkada buat gua? Yg langsung kena ke gua langsung? Gak ada! Gua swap pake duit sendiri, sekeluarga gua kena Covid biaya sendiri juga. Parpol doang yg;;
negatif;rchnr Gak nyangkal ada Covid di awal. Gak usah ada Pilkada. Itu gak harus pintar pun orang ngerti can.;;
negatif;"aporCovid @BiLLYKHAERUDIN @jokowi bela""in pilkada serentak kirain mau nurunin angka covid...  Eh malah tembus sejute ... 😓";;
negatif;NNIndonesia Hmmm.. pilkada dan libur nataru sukses bikin lonjakan emejing, kemarin enteng aj nanggepin corona sblm pilkada😊 pidato terakhir bilang negara sukses mengendalikan  krisis sekaligus ekonomi dan pandemi, cm sayangnya sehari kmdian prihatin penyebaran covid mncapai  j;;
negatif;NNIndonesia Menurut Saya sich satu kebijakan pemerintah yang fatal yaitu tentang dilaksanakan nya pilkada... !   Semoga Pemerintah dan Rakyat dapat merenung bersama dalam mengatasi Pandemi Covid-...🤔;;
negatif;"NNIndonesia Kata Pak Mendagri ""Pilkada dapat menurunkan penyebaran Virus Covid"" Kok kenyataannya kebalik?";;
positif;GUNK_S_ Kak gung, ayo ke tps, dgr pas pilkada covid terkendali;tah?;
negatif;ullmoonfolks @DonAdam Padahal kt mrka Pilkada kmrn tdk akan menaikkan kasus covid- Ah sudah lah mrka saat ini sllu bener;;
negatif;himberland @TimpalBali Ooh. Jadi covid setelah jam . itu mengganas ya? Sisa nya aman? Kalo pilkada aman ya bos. Cuma membahayakan rakyat aja ya? Kalo berani. Lockdown aja indonesia. Kalo punya duiit nya. Ato mau di korupsi juga duit ny?;;
positif;NNIndonesia Itu dua hal yg berbeda, covid prioritas tapi UU pemilu jg prioritas yg lain supaya pelaksanaan pemilu dan pilkada berjalan baik tidak terbaru sehingga rawan kecurangan;;
positif;ndra @AliLubisACTA @aniesbaswedan @DKIJakarta Klo covid naik tinggi ada aja alasannya karena pilkada lah,karena libur panjang lah terus yg disalahkan pusat..klo covid menurun drastis di jkt,,yg di puja si amis...hadehh...maha benar cocotmu lah drunn...;;
negatif;liLubisACTA @aniesbaswedan @DKIJakarta Ketiga, kenaikan Covid ini salah satunya Kareena Pilkada...Bodetabek melakukan pilkada dan mereka jutaan setiap hari yg mobilisasi ke Jakarta setelah pilkada... Padahal saat itu kondisi Jakarta sedang menurun covidnya.;tps://t.co/EUXmPKQh;
negatif;REAJULID Masyarakat sudah jenuh dengan covid. Ya ga bisa disalahkan juga. Tpi tetep patuhi protocol kesehatan. Pemerintah juga setengah. Pilkada aja masih dilakukan meskipun covid padahal juga berpotensi menambah positif covid.;;
positif;erieA_Lawas Kata Pak Mendagri Pilkada itu bisa untuk menurunkan Potensi Penyebaran Covid  kok;;
negatif;yahRungAn_ @kemendagri Saya pikir lebih baik ditunda, nyawa manusia dan dana keluar akibat meledaknya pasien covid- tidak sebanding dengan proses pilkada...;;
negatif;aef_sumarno ammyhalim @detikcom Sama kaya pejabatlah, kalo mentri kena covid, satgas ga perlu tau,kerumunan pesta rafi, waterboom, kampanye, pilkada, beda dgn kerumunan maulid. Mudik sm pulkam juga beda.😁;;
negatif;NNIndonesia Ada atau tak ada vaksin, virus Covid- takut pada  Pilkada karena dilindungi UU. 😂 Toh kemarin juga dilaksanakan Pilkada tanpa vaksin. Dan hasilnya kasus covid meningkat. Nanti pemerintah cukup minta maaf aja. 😅   https://t.co/CgIVZEJks;;
positif;"epublikaonline Karena di baduy masyarakatnya patuh dan taat sama tetuanya Pilkada di ributin, ""kenapa pas covid tetap di adakan pilkada""  Tapi kelakuan humannya nongkrong dan keluar rumah ga pake masker ga pengen di larang  Ini di negeri antah berantah sih";;
negatif;eloraco Yg buat seolah mudah tuh siapa?dari awal jg menganggap mudah..Ada yg blng dengan mudahnya tanpa beban, Pilkada tdk akan menambah covid, libur panjang tdk akan menambah cluster, kenyataannya semakin tinggi, baru berapa jam an, sdh bicara lagi, sebelum setahun Covid pasti h;;
negatif;ohmahfudmd cluster covid Pakde ada yang baru, cluster pilkada.. hehehehhe... kirain corona takut sama uu;;
negatif;IBarokah @iriawan Setuju sih gua. Alesan covid masih belum aman. Pilkada gimana ? Gk becus menpora sampe pssi;;
negatif;arazettirazr Pilkada siapa yg tanggung jawab... banyak korban covid pada mampus;;
negatif;ohmahfudmd uannas_alaidid  Saya berharap data ini keliru  IDI soal  Ribu Kasus Covid per Hari: Efek Libur dan Pilkada  https://t.co/UvkSPgfFV;;
negatif;BIDI sudah mau jujur bahwa lonjakan tinggi kasus Covid, salah satunya karena PILKADA. Gimana pertanggungjawaban pemerintah nih?  Jangan kaya Airlangga. Jadi menteri tapi gak jujur positif Covid.;;
negatif;eloraco Pokoknya Virus Covid hanya menyerang pihak yg berseberangan... Pilkada...pesta...atau kerumunan yg diadakan oleh warga sekolam aman dari Covid ..!;;
negatif;ipoalam @Fredy_Santana Sudah terbukti Pilkada telah berkontribusi naik nya angka terpapar Covid , maka apakah bisa penyelenggara pilkada nya juga diproses hukum sama seperti HRS yg malah tidak ada kontribusinya... @fadlizon @ReflyHZ @Fahrihamzah;;
negatif;NNIndonesia Hebat IDI berani meyebut pilkada salah satu penyebab meningkatnya kasus covid .;;
negatif;IVAcoid Gk lah pak,pilkada kan dilindungi UU,covid takut sm UU dinegri ini,covid takut sm para manusia kaya dan para penjilat;a;
negatif;huvijyo @infosurabaya Ada, cuma gak di ekspose 😂😂 buktinya setelah pilkada Covid meningkat.😂😂;rugi.;
